"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
-0.29914,-0.53991,-0.59228,-0.51253,-0.4453,-0.19818,-0.29604,-0.1068,-0.08421,0.01844,0.16384,0.2384,0.53959,0.64403,0.4769
0.25406,0.45616,0.62107,0.39575,0.18024,0.12055,0.05318,0.11742,0.09657,0.23502,0.1433,-0.10853,0.0372,0.12353,-0.06341
0.10643,-0.09511,0.25434,0.39675,0.46705,0.17536,0.20077,0.31462,-0.00942,-0.1029,-0.17539,-0.36999,-0.45762,-0.54579,-0.51421
0.04026,-0.13845,-0.19497,-0.28777,-0.21319,-0.34745,-0.26109,-0.39404,-0.21504,0.09551,0.15963,0.03162,0.01554,-0.23767,-0.06848
0.04937,-0.14829,-0.19,-0.03142,0.05891,0.05125,0.01749,-0.14911,-0.1674,-0.25634,-0.39371,-0.44754,-0.31531,-0.35928,-0.46348
0.15642,0.0932,-0.05257,-0.0285,0.15537,0.33167,0.23764,0.07876,0.14818,0.46227,0.57932,0.65984,0.77362,0.58524,0.83905
0.24599,0.1023,0.21196,0.47759,0.3091,0.1762,-0.02435,0.1505,0.33919,0.379,0.5304,0.42412,0.64439,0.39309,0.33237
-0.14211,-0.22666,-0.1855,-0.2993,-0.10735,0.25319,0.11624,-0.27486,-0.13212,-0.19878,-0.23893,-0.27532,-0.3571,-0.13808,-0.23214
0.00263,-0.15478,-0.19186,-0.25676,-0.06017,-0.12802,0.0195,-0.14642,-0.1105,-0.20956,-0.16805,-0.07312,-0.11821,-0.25827,-0.15422
0.70786,0.79423,0.45066,0.4737,0.4571,0.51626,0.50803,0.4899,0.45368,0.34247,0.15302,0.21531,0.27409,0.16544,-0.02178
-0.28587,-0.102,0.04697,-0.13426,0.03392,0.02941,-0.06074,-0.11865,-0.23465,-0.19324,-0.0477,-0.01987,0.05959,0.15107,0.06424
0.04489,0.10052,0.06097,-0.07525,-0.23629,0.02733,0.05462,-0.02345,0.18271,-0.05021,-0.3308,-0.31719,-0.03113,-0.22765,-0.04026
-0.348,-0.3499,-0.19302,-0.02629,0.08361,-0.10314,0.10051,0.26327,0.06379,-0.00532,-0.31225,-0.39978,-0.31519,-0.4339,-0.11369
0.0328,-0.06951,-0.0806,0.05835,-0.10769,-0.10598,-0.0145,-0.17182,-0.5078,-0.66662,-0.67868,-0.421,-0.36497,-0.2027,-0.42843
0.24344,0.12458,0.2677,0.26487,0.13843,0.15669,0.33944,0.54929,0.26034,0.1169,-0.2115,0.04206,0.15805,0.61458,0.61166
-0.60708,-0.51343,-0.45645,-0.33328,-0.30127,-0.31162,-0.41598,-0.6861,-0.44447,-0.14895,-0.15395,-0.15836,-0.44737,-0.61348,-0.50189
-0.12408,-0.14677,-0.02007,-0.00225,0.4077,0.42894,0.30104,0.11209,0.18693,0.25689,-0.00718,-0.01421,0.18717,0.02315,0.14217
0.55396,0.64125,0.55528,0.35509,0.12284,0.05955,0.06782,0.01761,0.11924,0.38052,0.49157,0.49824,0.51558,0.40268,0.36509
-0.20769,-0.337,-0.36952,-0.31003,-0.25388,-0.3891,-0.28242,-0.16724,0.11158,-0.04171,-0.00616,-0.09139,0.08936,-0.14416,-0.35089
-0.36594,-0.27642,-0.32279,-0.75132,-0.47875,-0.69252,-0.48468,-0.29499,-0.34356,-0.13644,-0.36582,-0.1597,-0.094,-0.26855,-0.44093
0.08184,0.13417,-0.21838,-0.13191,-0.37491,-0.29467,-0.40129,-0.58451,-0.52759,-0.32129,-0.49587,-0.59146,-0.398,-0.42086,-0.54878
-0.2041,-0.19014,0.0134,-0.0188,-0.34488,-0.25932,-0.29453,-0.0878,-0.32228,-0.13849,-0.0237,-0.25178,-0.21588,-0.26708,-0.29292
0.32734,0.58327,0.24005,-0.11145,-0.053,-0.27997,-0.74208,-0.70519,-0.62685,-0.93732,-0.96611,-0.63322,-0.70908,-0.58539,-0.54964
0.24369,0.13723,-0.09145,0.00546,-0.26186,-0.42915,-0.24691,-0.41986,-0.47755,-0.52849,-0.83453,-0.60484,-0.75128,-0.62268,-0.57023
0.19405,-0.06731,-0.10573,-0.05178,0.2513,0.22835,0.16318,0.07771,-0.07447,-0.28093,-0.0092,-0.16255,-0.14189,-0.41672,-0.51764
-0.36562,-0.42459,-0.43678,-0.4302,-0.31203,-0.10649,-0.27581,-0.12324,-0.11788,-0.12573,0.03808,-0.14311,-0.02848,-0.17063,0.02093
0.11879,0.27862,0.39893,0.45451,0.16646,-0.08402,-0.14383,-0.08734,-0.01243,-0.16539,0.02207,0.05263,0.21125,0.11874,0.3398
0.07393,0.235,0.17037,0.22413,0.22858,0.25517,0.11785,0.19434,-0.23926,-0.40427,-0.40728,-0.36635,-0.51841,-0.65292,-0.81741
-0.53797,-0.51157,-0.33624,-0.09662,-0.42363,-0.44335,-0.4392,-0.18878,-0.34466,-0.29283,-0.24205,-0.06385,-0.45416,-0.3606,-0.64103
0.15135,-0.11496,-0.19115,-0.14039,-0.2713,-0.20427,-0.15078,-0.0665,0.21795,0.03475,-0.21564,-0.17432,-0.11291,-0.11714,0.06393
0.05527,0.22868,-0.08774,-0.20895,-0.5327,-0.43403,-0.41547,-0.67693,-0.85504,-0.72173,-0.65405,-0.59263,-0.45648,-0.55759,-0.27216
-0.28397,-0.24236,-0.0785,-0.04676,-0.11321,-0.18385,-0.00389,-0.24997,-0.19299,-0.16519,-0.37994,-0.20159,-0.28316,-0.17893,-0.46321
-0.07431,-0.09538,-0.2421,-0.17976,-0.10329,-0.18265,-0.00892,0.09576,-0.19862,-0.36514,-0.48318,-0.71941,-1.0384,-0.8416,-1.03736
0.48695,0.20736,0.29845,0.19074,-0.23413,-0.36797,-0.59739,-0.63103,-0.58722,-0.71772,-0.66389,-0.61908,-0.51422,-0.66574,-0.63239
0.18555,0.13331,0.13576,-0.00938,0.07711,0.30603,0.58606,0.24658,-0.01093,0.00243,0.17555,-0.03365,-0.13183,0.09014,-0.02881
-0.32924,-0.20932,-0.3788,-0.34957,-0.10661,0.10817,0.02555,-0.05255,0.03596,-0.03896,-0.07745,-0.00753,-0.02332,0.00109,-0.17766
-0.01334,0.11413,0.04672,0.09258,0.05657,0.08669,0.09784,0.20553,0.37266,0.39132,0.28617,0.21167,-0.02496,-0.04195,-0.36722
0.42507,0.36018,0.20082,0.34454,0.5941,0.34587,-0.09681,-0.10513,-0.23557,-0.40761,-0.48449,-0.42845,-0.31807,-0.10041,-0.14731
-0.01406,0.00749,-0.09906,-0.13217,-0.27451,-0.2922,-0.16401,-0.24563,-0.20526,-0.05869,-0.36287,-0.52489,-0.74687,-0.64484,-0.57937
-0.14816,0.05456,-0.1464,-0.21227,-0.36172,-0.38674,-0.33254,-0.35103,-0.30837,-0.40433,-0.48716,-0.44349,-0.41266,-0.56808,-0.47289
0.28796,0.1265,0.06955,-0.07864,0.0162,-0.26382,-0.34034,-0.26925,-0.19238,0.11739,0.17311,0.13265,0.05133,0.26761,0.0504
-0.10506,-0.1745,0.01685,0.0857,0.07854,0.01636,0.0548,-0.1745,-0.04775,-0.03,-0.04674,-0.02945,0.20933,0.26553,0.09413
-0.0247,-0.06043,-0.01584,0.17503,0.4042,0.33027,0.35306,0.22781,0.10192,0.22656,0.37786,0.04718,0.04427,0.22962,0.27111
0.19849,0.1597,-0.029,-0.14611,-0.15954,0.12931,0.12415,-0.003,0.12089,-0.04411,-0.08855,0.03828,-0.00755,-0.28356,-0.36537
0.4769,0.45185,0.35706,0.5064,0.56202,0.26598,0.53209,0.56486,0.39488,0.59734,0.40917,0.33665,0.42497,0.54969,0.55224
-0.22949,-0.19346,-0.24859,-0.35212,-0.19544,-0.35129,-0.42994,-0.56946,-0.27277,-0.22841,-0.27104,-0.30482,-0.28451,-0.05323,-0.13766
-0.04409,0.20885,0.17693,0.02029,0.03793,-0.00724,-0.16695,-0.18275,-0.37533,-0.47119,-0.54655,-0.40066,-0.32431,-0.33613,-0.27849
0.03372,0.08906,-0.04879,0.03582,0.12652,0.39394,0.33977,0.50412,0.54784,0.53135,0.7157,0.68141,0.85988,0.54686,0.6733
0.22284,0.24307,0.18934,0.21842,0.10835,-0.02915,0.09396,0.03554,0.32991,0.30497,0.44488,0.40043,0.08363,0.13877,-0.01883
0.37171,0.33038,0.10193,0.31081,0.02619,-0.04109,-0.16224,-0.17674,-0.21924,-0.33804,-0.19308,-0.23348,-0.46527,-0.45151,-0.4817
0.42262,0.3328,0.42631,0.56229,0.32601,0.60572,0.32162,0.42189,0.10206,0.20495,0.48917,0.41223,0.15083,0.08307,0.17804
-0.02126,0.12758,0.12669,0.10637,0.16234,0.05763,-0.09017,0.09982,-0.20804,0.0438,0.09075,-0.05011,-0.03124,0.36061,0.24781
0.21003,0.14224,0.01985,0.08093,-0.00939,-0.02026,-0.37917,-0.37987,-0.34856,-0.11032,0.05743,-0.30768,-0.44491,-0.43666,-0.16031
-0.19104,0.14307,-0.07936,0.06633,0.01684,-0.20082,-0.05754,-0.06324,0.11736,0.33081,0.41439,0.53668,0.78912,0.88775,0.86967
-0.10786,-0.15574,0.13881,0.13179,0.24793,0.25159,0.39929,0.46257,0.31651,0.25722,0.22939,0.50941,0.47192,0.50617,0.61628
-0.29251,-0.13585,-0.05801,-0.02771,-0.20123,0.09648,0.14603,0.15063,0.10535,0.09254,-0.18982,0.0199,0.1107,0.33025,0.63914
-0.27497,-0.06132,-0.00735,-0.09624,-0.06273,-0.26013,-0.3166,-0.31957,-0.37012,-0.43911,-0.39221,0.16509,0.3188,0.66907,0.40956
0.1387,0.01163,-0.09368,-0.20612,-0.19577,-0.104,0.07757,0.06109,0.11578,0.11253,0.05199,-0.06616,-0.25675,-0.53881,-0.50288
0.1761,0.05404,0.01985,-0.11886,-0.02388,-0.09968,-0.04446,-0.10377,0.14629,0.46394,0.54992,0.3715,0.29032,0.18689,0.26382
0.06729,0.17515,0.03626,0.09561,-0.03804,0.18102,0.16455,-0.03999,-0.01201,0.16419,0.18333,0.10367,-0.01423,-0.02779,-0.05713
-0.14915,-0.08458,0.1311,0.28609,0.29436,0.22816,0.34363,0.40564,0.18042,0.19438,0.36623,0.33391,0.23698,0.20237,0.17303
0.07116,-0.06203,-0.02357,0.14656,0.17469,-0.01501,-0.12586,0.06246,0.14413,-0.10966,-0.12472,-0.18566,-0.22312,-0.12892,-0.03668
-0.32906,-0.10311,0.06007,0.19592,-0.03367,-0.14777,-0.20609,-0.32695,-0.4305,-0.3825,-0.34756,-0.31143,-0.342,-0.47531,-0.32855
-0.45341,-0.58351,-0.37641,-0.28474,-0.58753,-0.38456,-0.49354,-0.5351,-0.40815,-0.47829,-0.38829,-0.23615,-0.5781,-0.51947,-0.10351
-0.12052,-0.1419,-0.03667,0.10949,-0.08209,-0.21862,-0.03479,0.06116,0.13977,0.13326,0.05058,-0.00201,0.27693,0.2577,0.0635
-0.10937,-0.05927,-0.29801,-0.20214,-0.17987,0.06729,0.0141,-0.15181,-0.0767,0.10457,-0.05646,-0.06992,-0.0907,0.04832,-0.10684
-0.24099,-0.5071,-0.24635,-0.13765,0.06973,0.11984,-0.15066,-0.39271,-0.28671,-0.34893,-0.18922,-0.28359,-0.33585,-0.29927,-0.02714
-0.50444,-0.29783,-0.39032,-0.25623,0.00012,-0.08931,-0.2126,-0.02283,0.13943,0.1099,0.0209,-0.31333,-0.10208,0.05923,0.02187
-0.13361,-0.04154,-0.06541,-0.15724,-0.03827,-0.22238,-0.13653,-0.31195,-0.39106,-0.22418,-0.13908,-0.39234,-0.25296,-0.19502,-0.30561
0.1297,0.17598,0.49026,0.01671,-0.12905,0.01635,0.20876,-0.11938,0.11875,-0.0039,0.36381,0.16381,-0.09729,-0.0431,0.06798
0.21355,0.06622,0.34828,0.57392,0.24488,-0.14796,-0.14611,0.03218,0.0428,-0.06834,0.02101,0.01003,0.46682,0.28353,0.19705
0.41282,0.51522,0.92595,1.00313,0.67843,0.77033,0.81192,0.68371,0.36523,0.19511,0.27267,0.24101,0.01392,0.44682,0.21273
0.02144,0.11544,0.04346,0.22117,0.38908,0.43835,0.48223,0.11811,-0.06081,-0.20871,-0.31766,-0.3343,-0.25955,-0.36968,-0.40666
0.56106,0.53024,0.45709,0.41116,0.09584,-0.06805,-0.17732,-0.10596,-0.1188,-0.29089,-0.08928,-0.38782,-0.38362,-0.37909,-0.12131
0.10934,0.32196,0.02519,0.14368,0.02369,-0.07235,0.02756,0.07178,0.11721,0.26899,0.52413,0.50525,0.39971,0.4041,0.32895
-0.06312,-0.10521,-0.32371,-0.48865,-0.59062,-0.46253,-0.33218,-0.072,-0.14679,-0.30107,-0.27419,-0.3624,-0.43348,-0.42639,-0.48063
-0.48357,-0.12862,-0.08797,-0.19389,-0.18278,-0.07064,-0.28533,-0.19558,-0.0348,-0.04492,-0.02187,-0.10657,-0.03238,-0.0502,-0.02826
0.61271,0.45245,0.4214,0.0492,0.01103,-0.10679,-0.09424,-0.11555,0.11054,0.23104,0.20448,0.1369,0.35588,0.27166,0.1513
0.38679,0.48849,0.68879,0.46729,0.51366,0.30289,0.37667,0.50033,0.3813,0.47182,0.63491,0.65356,0.685,1.07322,0.93599
0.17845,0.23721,0.34483,0.44134,0.14987,0.13897,0.22486,0.34514,0.06248,0.03433,0.06186,0.02464,0.21393,0.26148,0.15309
0.2697,0.19055,0.33963,6e-04,-0.06922,0.07616,-0.05155,-0.03632,0.04178,-0.04057,-0.29978,-0.32011,-0.23454,-0.11008,-0.5696
0.2682,0.15473,0.11223,0.31986,0.389,0.39761,0.53323,0.50295,0.3681,0.32839,0.451,0.60329,0.62378,0.66639,0.40092
0.19211,0.08969,0.31645,0.35483,-0.0999,-0.19802,-0.06082,-0.22665,-0.60293,-0.28303,-0.18872,-0.3743,-0.53711,-0.52586,-0.49796
0.25302,0.07418,-0.01676,-0.09666,0.32145,0.44567,0.39201,0.4922,0.38072,0.28832,0.3136,0.27553,0.4354,0.35106,0.40599
0.28499,0.29035,-0.01908,-0.00449,-0.05353,-0.04291,-0.12713,-0.14359,0.13815,0.1276,-0.03548,0.27416,0.19528,-0.0443,-0.04275
-0.1301,0.01197,0.36792,0.10488,0.10375,-0.11856,-0.22098,-0.13387,-0.05267,-0.06777,0.22844,0.38376,0.17185,0.30298,0.58556
-0.05884,0.26744,-0.10004,0.19536,0.40137,0.34876,0.63582,0.47939,0.41391,0.44961,0.08318,0.1668,-0.02678,0.16445,0.15082
0.01989,-0.10941,0.02667,0.0646,-0.17325,0.15575,0.08669,0.23611,0.22493,0.23527,0.0358,-0.10647,-0.38871,-0.23684,-0.18912
-0.21258,-0.17671,-0.3985,-0.23386,-0.1106,-0.04344,-0.28488,-0.00368,-0.02542,-0.01978,0.04768,0.03553,-0.1597,-0.05587,0.00964
0.53375,0.27375,0.48061,0.37238,0.40468,0.38248,0.19395,-0.05942,-0.01859,0.06041,0.1961,0.13818,0.13191,0.23731,0.42493
-0.34763,-0.40529,-0.44129,-0.28235,-0.18754,0.12312,0.03185,0.06755,-0.00309,-0.11403,-0.03159,-0.02344,-0.04122,-0.00519,-0.00473
0.03889,-0.08051,-0.24889,-0.12083,-0.03852,0.1123,0.38839,0.4141,0.38832,0.26274,0.30378,0.12066,0.09395,0.2415,-0.0929
-0.21659,-0.23841,-0.1596,-0.04732,0.02089,0.15653,-0.22677,-0.22796,-0.10981,-0.17778,-0.35056,-0.3844,-0.28734,-0.1734,-0.15454
0.02567,0.35068,0.21263,0.44451,0.42627,0.5237,0.26458,0.4361,0.32899,0.28105,0.27028,0.54571,0.26208,0.32591,0.14141
0.04935,0.20072,0.10996,0.17939,0.31425,0.34522,0.20854,0.13012,0.02119,-0.08062,-0.15328,-0.09123,-0.14933,0.07089,0.00952
-0.01313,0.10874,0.00585,-0.23178,-0.29814,-0.15064,-0.35118,-0.25078,-0.21088,-0.237,-0.1679,0.04938,0.22621,0.04109,-0.0288
-0.77758,-0.74755,-0.58347,-0.33326,-0.24947,-0.06599,-0.12587,-0.22779,-0.22907,-0.05519,0.19703,0.03911,-0.0471,-0.18844,-0.38333
-0.63704,-0.24287,-0.12427,-0.21732,-0.27301,-0.37407,-0.48238,-0.2133,-0.06815,-0.32738,-0.06719,0.05803,-0.05793,-0.30349,0.01534
0.15796,0.40066,0.14419,-0.1432,-0.16509,-0.19662,-0.37129,-0.26123,-0.18622,-0.17897,-0.03891,-0.25947,-0.02413,-0.05911,-0.06647
-0.20605,-0.2705,-0.39678,-0.02102,-0.25111,0.14086,-0.08895,0.09856,0.01406,0.16402,0.26433,0.0777,0.27259,0.11322,0.41408
0.0247,0.05119,0.29003,0.27094,-0.03062,-0.04776,-0.01246,-0.08502,-0.2043,-0.13001,-0.13053,-0.04312,-0.05243,-0.11808,-0.30754
0.21663,0.23076,0.00056,0.23959,0.17251,-0.06309,-0.05596,-0.00667,0.03026,0.27281,0.27163,0.1913,0.09073,0.20766,0.10605
-0.06696,-0.40042,-0.06974,0.06636,0.12554,-0.06721,-0.07745,-0.24844,-0.36059,-0.37255,-0.3282,-0.49068,-0.17119,-0.11892,-0.30288
-0.17524,-0.00521,-0.07462,-0.19452,-0.38264,-0.12879,-0.15179,-0.15787,-0.16621,-0.09392,-0.13653,-0.21794,-0.16917,-0.45865,-0.11885
-0.04319,-0.14482,-0.06038,0.0951,0.24573,-0.10241,0.05201,-0.24657,-0.15543,-0.17399,-0.29748,-0.67735,-0.40773,-0.04127,-0.15127
0.40161,0.44334,0.32057,0.10642,0.22074,0.3978,0.66531,0.73493,0.38867,0.21465,0.20251,0.04151,-0.2471,-0.05203,0.17412
0.38618,0.37841,0.36622,0.31911,0.14383,-0.07708,-0.00564,-0.0124,-0.15085,-0.11428,-0.02807,0.17749,0.1034,0.0505,0.11307
0.47084,0.42025,0.3365,0.21053,0.23801,0.32463,0.0996,0.31853,-0.10947,-0.26616,-0.08282,-0.16807,-0.06219,0.00614,-0.10591
0.41637,0.48029,0.27776,0.24888,0.03586,-0.1612,-0.03854,0.28646,0.20539,0.30412,0.69208,0.8805,0.81986,0.75679,0.65589
-0.38329,-0.17086,-0.06843,0.16048,-0.04222,-0.32695,-0.21015,0.06232,0.26786,0.05864,0.38511,0.0504,0.14966,0.12249,0.17457
-0.4274,-0.244,-0.19734,-0.04348,0.03923,0.4053,0.67284,0.73068,1.11674,0.92595,0.6487,0.7228,0.93551,0.82744,0.87187
0.0179,-0.11481,-0.00686,-0.28687,-0.20348,-0.18092,0.00518,-0.16459,-0.23254,-0.18154,-0.1948,-0.2958,0.03981,0.09738,0.13957
-0.05706,-0.19135,-0.25417,-0.10095,0.06488,-0.04513,0.14708,0.06791,0.14489,0.16566,0.08129,-0.05076,-0.22473,-0.31275,-0.34222
-0.3997,-0.48738,-0.42164,-0.26901,-0.376,-0.19047,-0.10321,-0.12644,-0.38546,-0.30822,-0.49058,-0.14965,-0.03254,-0.15423,-0.32926
-0.5113,-0.4643,-0.07695,-0.14527,-0.21656,-0.2212,-0.13383,0.00458,-0.0703,-0.60101,-0.54059,-0.65049,-0.42606,-0.63524,-0.76844
0.31641,0.28875,0.17898,0.21634,0.20486,0.21431,0.20376,0.46626,0.34235,0.11505,0.16354,0.08789,0.20383,0.35003,0.08573
0.43787,0.29412,0.16159,0.08257,0.30313,0.23387,0.07496,0.07013,0.08946,0.17252,0.40716,0.37143,0.3666,0.4629,0.58744
0.07104,0.19003,0.18739,0.32282,0.18675,0.11723,0.08282,-0.19608,-0.21116,0.00563,0.22621,0.13662,0.06236,-0.08721,0.05593
0.01925,-0.03845,-0.08436,-0.30815,-0.37896,-0.51117,-0.34536,-0.44611,-0.60345,-0.67304,-0.82476,-0.62018,-0.64544,-0.68341,-0.62421
-0.01715,-0.27602,-0.33986,-0.32052,0.07033,0.08279,0.04645,0.01302,-0.00688,0.03075,0.22813,0.38579,0.03886,0.11447,0.16162
-0.15661,0.11892,-0.05479,-0.24833,-0.46173,-0.39549,-0.4572,-0.49525,-0.63368,-0.76512,-0.75755,-0.88042,-0.89505,-0.81167,-0.52545
-0.35495,-0.09122,0.14086,0.09649,0.05858,0.09185,0.20872,0.39106,0.34591,0.26559,0.43239,0.46431,0.25439,0.21594,0.05771
-0.05755,0.21878,0.35588,0.26676,0.10627,-0.11395,-0.12121,-0.02283,0.25749,0.03459,0.10253,-0.04857,-0.03011,0.12605,0.22028
-0.30118,-0.14089,-0.14803,0.18643,0.00854,0.04391,-0.17357,-0.14915,-0.34657,-0.43383,-0.53115,-0.4576,-0.50205,-0.28476,-0.3189
0.06609,-0.19184,-0.22297,-0.42741,-0.37994,-0.38573,-0.42146,-0.39068,-0.24831,-0.46885,-0.21432,-0.17465,-0.06308,0.09293,0.14416
0.16446,0.10844,0.23267,0.14623,0.02753,-0.18338,-0.19122,-0.21529,-0.19078,-0.11444,0.33728,0.33655,0.26881,0.1771,0.05273
-0.0794,0.01152,0.01839,-0.11762,-0.04121,-0.28777,-0.30463,-0.06575,0.07914,0.03053,-0.12433,-0.05069,-0.2428,-0.37801,-0.28641
0.3989,0.41792,0.34365,0.17463,0.28373,0.52498,0.42989,0.35584,0.37829,0.50904,0.5113,0.51286,0.46162,0.40175,0.54773
0.43154,0.47008,0.51843,0.63569,0.60361,0.43759,0.6227,0.74189,0.55239,0.40482,0.57022,0.5477,0.51491,0.49748,0.57518
0.30718,0.32589,0.36996,0.19458,0.25887,0.40139,0.55649,0.38067,0.42939,0.41871,0.22778,0.21826,0.26501,0.31403,0.38444
-0.34272,-0.5399,-0.40419,-0.50379,-0.37175,-0.38562,-0.30628,-0.15972,-0.13336,-0.22143,-0.14107,-0.05545,0.06858,-0.04879,-0.07671
-0.37745,-0.30121,-0.12082,0.00393,0.01237,-0.22213,-0.09997,-0.11727,-0.16312,0.04179,-0.08807,0.06835,0.18567,0.1039,0.00088
0.05249,0.03434,0.07197,0.09588,0.13417,-0.12899,-0.17195,-0.1049,0.09729,0.26721,0.18389,0.16714,0.10331,0.22546,0.47682
0.0451,0.05769,-0.01706,-0.08303,-0.1231,-0.07456,-0.04239,0.09422,-0.07044,-0.04472,-0.12627,-0.0772,-0.19322,-0.16929,-0.12723
0.17849,-0.06592,0.20976,0.20022,0.06515,0.19207,0.09533,0.03207,-0.02862,-0.16509,-0.19253,-0.11555,-0.0677,-0.06654,-0.0518
-0.36045,-0.30841,-0.52425,-0.39871,-0.56259,-0.54461,-0.38855,-0.35051,-0.07282,-0.03599,-0.01334,-0.12981,0.02434,0.07383,-0.00399
-0.07634,0.02531,0.01567,0.02288,0.21729,0.17058,0.17737,-0.07503,-0.24758,-0.26997,-0.17593,-0.07518,-0.28993,-0.33362,-0.29949
0.0899,-0.02586,-0.10095,-0.08338,-0.04064,-0.18809,-0.07032,-0.29363,-0.11144,-0.05645,0.00907,0.03497,-0.03359,0.03452,-0.04184
-0.38344,-0.36075,-0.31354,-0.32335,-0.11161,-0.09749,-0.01049,0.04082,0.06578,0.11091,0.03596,0.23924,0.2971,0.44578,0.35875
0.02922,0.06322,0.02945,0.04743,-0.02694,0.2874,-0.18693,0.00273,-0.01211,-0.04882,-0.18969,-0.05144,-0.17589,-0.12127,0.02954
0.47814,0.52929,0.28073,0.42009,0.52855,0.13872,0.1662,0.14896,0.45558,0.1108,-0.05289,-0.12421,-0.05638,-0.0371,0.10291
-0.35245,-0.39221,-0.17982,-0.10757,-0.09937,0.11793,0.04817,-0.07552,-1e-04,0.13566,0.14505,0.18802,0.31869,0.18463,0.2178
0.32794,0.43346,0.20942,0.19669,0.28724,0.27261,-0.0631,0.15139,0.06242,0.0412,0.12429,0.27122,0.43364,0.29642,0.4219
0.24183,0.16586,0.29691,0.21274,0.02694,-0.14783,-0.1349,0.06304,0.22769,0.20009,-0.08323,-0.01879,-0.1875,-0.01567,0.1503
0.24638,0.42979,0.24092,0.25035,0.21475,0.25765,0.15253,-0.12403,-0.22452,-0.23707,-0.23252,-0.18855,-0.247,-0.36477,-0.29267
0.35005,0.60196,0.6472,0.46149,0.2636,0.0366,-0.24085,-0.16883,-0.26115,-0.32357,-0.2957,-0.15131,-0.4095,-0.29169,-0.40158
-0.01179,0.14764,0.14027,-0.1037,0.10543,-0.20942,-0.28998,-0.28833,-0.08593,-0.20695,-0.18158,0.06952,0.02723,0.05599,0.07038
0.04512,0.05734,-0.36622,-0.18445,-0.0085,-0.04349,-0.00406,-0.10356,0.27741,0.14876,0.15663,0.21584,0.38201,0.29583,0.57137
-0.25574,-0.15677,0.08624,0.11623,-0.15789,0.04018,0.23032,0.20872,0.2897,0.3777,0.30271,0.03713,0.12841,0.15053,0.24641
0.12596,-0.07357,0.17154,0.28468,0.27319,0.26452,0.22843,0.08579,-0.03091,0.02996,0.06061,0.11855,-0.03099,-0.31725,-0.46601
0.32671,0.4541,0.31184,0.37099,0.35539,0.33064,0.3331,0.07836,-0.03344,-0.18893,0.14301,0.04732,0.21648,0.14715,0.07519
0.06054,0.33009,0.46185,0.21693,-0.07148,0.05061,-0.21671,0.08763,0.18061,0.04904,0.29382,0.22266,-0.06301,-0.19331,-0.01746
0.32736,0.2675,0.36101,0.49957,0.561,0.57795,0.64462,0.55676,0.60483,0.5101,0.6114,0.66848,0.93275,0.96933,0.79886
0.30922,0.26934,0.34348,0.12275,0.33175,0.45679,0.58466,0.24489,0.04407,0.045,0.20854,0.4078,0.21169,0.02726,-0.12899
