"inlf","hours","kidslt6","kidsge6","age","educ","wage","repwage","hushrs","husage","huseduc","huswage","faminc","mtr","motheduc","fatheduc","unem","city","exper","nwifeinc","lwage","expersq"
1,952,0,1,46,15,5.2521,0,2414,47,16,18.724,50750,0.4415,7,12,5,1,8,45.75,1.658628,64
1,1413,1,3,39,12,1.4154,2.2,768,49,8,10.417,15632,0.7715,10,10,14,0,13,13.63204,0.3474122,169
1,2100,0,2,44,12,4.7986,4.85,1984,43,14,8.8458,28316,0.6215,7,0,11,1,16,18.23894,1.568324,256
1,120,2,0,33,12,1.6667,2.37,2246,36,12,7.569,17290,0.7215,12,12,9.5,1,11,17.09,0.5108456,121
1,3000,1,2,33,12,1.1217,0,3024,30,17,4.4507,33600,0.6215,10,10,7.5,1,15,30.2349,0.1148454,225
1,1000,0,2,48,12,0.5,0,2921,52,12,9.3204,29200,0.6215,12,7,9,1,6,28.7,-0.6931472,36
1,336,0,4,31,12,0.7143,0,2045,37,17,9.1687,19870,0.6915,7,7,11,0,13,19.63,-0.3364523,169
1,1216,0,1,45,12,2.7961,2.9,1928,44,12,6.4834,16225,0.7215,7,7,11,0,22,12.82494,1.028226,484
1,988,0,1,45,12,4.8583,4.5,1920,44,10,7.8125,28600,0.6915,7,3,5,1,24,23.8,1.580689,576
1,2581,0,2,32,13,1.7435,2.6,2280,37,17,11.404,30800,0.5815,14,12,7.5,1,2,26.30003,0.5558946,4
1,2030,0,0,47,12,2.4631,2.8,2300,47,17,5.087,25700,0.6915,7,7,3,0,6,20.69991,0.9014207,36
1,413,0,2,34,13,2.4213,3,2480,35,13,6.9758,27000,0.6215,12,12,3,0,2,26,0.8843046,4
1,782,0,1,37,12,1.5345,2.3,1135,34,10,5.2863,12077,0.7715,12,7,9.5,1,2,10.87702,0.4282046,4
1,1388,0,1,36,12,2.8818,1.87,1384,39,12,11.562,29612,0.6615,7,7,11,0,14,25.61206,1.058415,196
1,1450,1,2,47,12,2.4069,3,1848,50,14,8.6061,24479,0.6915,7,10,9.5,1,9,20.98899,0.8783396,81
1,1720,0,1,48,16,5.2326,4.68,2499,46,17,12.805,79750,0.4415,14,14,7.5,1,11,70.74993,1.654908,121
1,800,0,2,42,12,3.75,2.5,2390,43,12,6.6946,20050,0.6915,12,7,11,0,9,17.05,1.321756,81
1,360,0,3,33,13,1.3889,0,2400,44,14,8.3333,21500,0.6915,10,12,11,1,6,21,0.3285121,36
1,2000,0,0,46,11,4,4.61,1920,53,8,4.1667,16120,0.6915,7,7,5,0,19,8.12,1.386294,361
1,1176,0,3,47,12,3.2313,3.35,2301,48,13,5.4759,24686,0.7215,7,7,9.5,0,26,20.88599,1.172885,676
1,2058,0,1,44,12,3.4014,3.8,1944,43,10,5.144,24669,0.6915,7,10,9.5,1,19,17.66892,1.224187,361
1,900,0,4,36,12,1.3333,2.2,2100,37,17,11.667,26400,0.6615,7,7,7.5,1,3,25.20003,0.2876571,9
1,215,2,0,31,17,9.3023,9.98,1920,32,16,7.2917,16245,0.7215,12,12,7.5,1,7,14.24501,2.230262,49
1,2000,0,0,55,14,4.5,4.37,2880,55,14,4.8611,23300,0.6615,7,7,9.5,1,28,14.3,1.504077,784
1,757,0,1,45,16,4.6235,4.5,1932,48,16,12.164,27200,0.6215,12,7,9.5,1,13,23.70001,1.531152,169
1,1264,0,0,47,17,3.9557,0,3234,48,17,10.823,51000,0.4615,10,17,9.5,1,9,46,1.375158,81
1,2064,0,3,46,12,5.814,6,2805,47,12,12.478,55000,0.4615,10,7,14,1,15,42.9999,1.760269,225
1,1280,0,0,49,11,0.5,0,2272,52,9,6.162,15389,0.7215,7,7,7.5,1,20,14.749,-0.6931472,400
1,1715,0,0,49,12,4.0816,3.75,2227,52,14,7.1846,23150,0.6615,7,7,9.5,1,29,16.15005,1.406489,841
1,2000,0,2,45,12,6,4.95,1720,49,6,7.093,29774,0.6215,7,10,14,1,9,17.774,1.791759,81
1,12,1,3,38,17,3.6667,0,2300,38,13,17.826,91044,0.4415,12,10,14,1,1,91,1.299292,1
1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.393,28200,0.5815,7,12,14,1,8,22.29993,1.351004,64
1,561,0,3,54,13,2.7629,2.53,2304,57,16,11.719,36150,0.5515,7,7,9.5,1,19,34.60001,1.016281,361
1,2058,0,0,41,11,2.931,2.9,1984,42,12,4.7883,15652,0.7215,12,12,7.5,0,23,9.620002,1.075344,529
1,1823,0,2,43,12,4.3884,4.2,1890,33,14,4.2328,18900,0.7515,14,7,11,0,3,10.89995,1.478965,9
1,1680,1,1,31,16,5.4167,4.7,1970,32,12,7.1066,23600,0.6615,12,10,7.5,0,13,14.49994,1.689487,169
1,1440,0,0,47,17,9.8611,7.1,2400,46,12,8.3333,36200,0.61,7,7,7.5,1,8,22.00002,2.288598,64
1,4950,0,2,35,12,0.1616,2.75,2504,37,12,6.9888,18700,0.6915,10,10,7.5,0,17,17.90008,-1.822631,289
1,1176,0,3,45,16,0.3826,3.75,2398,48,17,9.5913,24125,0.6615,7,7,11,1,4,23.67506,-0.9607652,16
1,1100,1,0,33,12,3.6364,3.58,1960,39,12,6.0204,15800,0.7215,7,7,7.5,0,15,11.79996,1.290994,225
1,1516,0,1,54,16,2.3747,2.4,2550,55,12,2.9686,19742,0.7215,12,7,3,0,11,16.14195,0.8648711,121
1,900,0,4,35,8,4.6667,3.95,2500,41,12,7,22600,0.6915,10,7,9.5,0,7,18.39997,1.540452,49
1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627,17500,0.7215,7,7,7.5,0,0,15.49995,0.6162121,0
1,480,0,0,55,12,5.2,0,2640,60,12,4.7364,19820,0.6915,7,7,7.5,0,0,17.324,1.648659,0
1,288,0,2,34,12,3.2986,4.62,1936,36,12,8.781,20155,0.6915,12,16,11,1,10,19.205,1.193498,100
1,1875,0,1,38,13,8.5333,8.5,2136,41,12,9.8315,37300,0.58,10,12,7.5,1,8,21.30006,2.143976,64
1,630,0,1,45,11,2.0635,0,1955,51,10,6.6496,24860,0.7215,7,7,7.5,1,2,23.56,0.7244036,4
1,234,0,1,47,12,2.5641,2.5,1980,48,10,9.8485,21450,0.6615,12,3,7.5,1,4,20.85,0.9416075,16
1,1600,0,2,39,12,2.1875,0,2550,42,11,9.8039,29650,0.6215,7,7,5,1,6,26.15,0.7827594,36
1,960,1,0,36,14,6.25,0,2058,37,13,8.2604,23000,0.6615,7,7,11,1,18,17,1.832582,324
1,120,1,2,33,12,3.3333,0,2263,32,14,9.0676,21120,0.6915,7,7,9,1,3,20.72,1.203963,9
1,2025,0,0,50,12,4.4444,4.8,1763,54,13,8.5082,26000,0.6215,7,12,5,1,22,17.00009,1.491645,484
1,1809,0,0,58,12,6.6335,6.45,2096,59,14,7.1565,28000,0.6215,3,7,7.5,1,33,16,1.892133,1089
1,3087,0,0,49,17,8.4224,9.98,2059,47,13,7.0423,45500,0.52,12,12,11,1,28,19.50005,2.130895,784
1,910,0,2,41,14,4.3956,0,1820,40,17,6.5934,16000,0.7215,16,12,14,1,23,12,1.480604,529
1,1840,0,1,51,12,2.4457,2.5,2832,53,8,4.3457,18232,0.6915,7,14,11,0,27,13.73191,0.8943313,729
1,784,0,0,53,9,1.2245,2.25,1990,60,10,7.2362,28160,0.7215,3,7,14,1,11,27.19999,0.2025325,121
1,400,1,2,36,12,1.625,0,2000,40,7,1.74,5965,0.8015,12,7,11,1,6,5.315,0.4855078,36
1,1000,0,2,46,12,3,5.5,1885,46,12,6.8966,19000,0.7215,7,7,9.5,1,11,16,1.098612,121
1,1904,0,2,36,12,4.7269,4.2,2860,37,12,5.0455,36872,0.5515,12,12,11,1,14,27.87198,1.55327,196
1,1771,0,1,53,14,1.1293,9.98,1913,48,16,17.25,42000,0.4915,12,12,14,1,17,40.00001,0.121598,289
1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3333,26900,0.6215,16,14,11,1,17,15.90003,2.001804,289
1,740,0,2,42,17,4.4595,1.65,2880,45,16,9.375,30800,0.5815,12,10,9,0,14,27.49997,1.495037,196
1,1820,1,1,33,15,2.4725,0,1993,32,16,8.279,21520,0.6915,12,12,11,1,11,17.02005,0.9052298,121
1,1275,0,3,43,12,1.8824,3,2250,47,14,4.5,24795,0.6915,7,7,7.5,1,7,22.39494,0.6325476,49
1,450,1,0,31,16,4,4,2286,30,16,4.1995,12900,0.7215,14,16,14,1,8,11.1,1.386294,64
1,1221,0,0,47,17,8.19,5.99,1880,47,16,16.064,42700,0.4915,7,7,7.5,1,6,32.70001,2.102914,36
1,1550,0,0,54,17,7.0968,6,2350,58,17,11.277,38800,0.5215,10,17,11,1,8,27.79996,1.959644,64
1,180,1,3,33,12,1.6667,0,3640,33,11,0.5494,2500,0.9415,7,3,3,0,4,2.199994,0.5108456,16
1,2090,0,0,43,16,3.445,3.85,1770,47,14,9.548,26921,0.6215,14,10,11,1,25,19.72095,1.236924,625
1,1960,0,1,46,13,4.2347,4.2,1875,49,13,5.3333,18300,0.6915,7,9,3,0,24,9.999988,1.443313,576
1,1440,0,3,35,12,2.7778,4.1,2200,38,9,5.4545,17200,0.7215,7,7,14,1,11,13.19997,1.021659,121
1,794,0,3,37,11,1.8892,3.85,2033,39,12,5.9026,14209,0.7515,12,3,9.5,1,19,12.70897,0.6361535,361
1,993,0,2,37,16,5.0352,8.3,2739,39,17,9.8576,32300,0.5815,12,16,14,1,9,27.30005,1.616453,81
1,160,0,3,34,14,1.25,0,1626,38,14,11.685,21400,0.7215,17,12,7.5,1,19,21.2,0.2231435,361
1,105,1,0,43,16,2.8571,0,2248,44,17,6.2278,14700,0.7215,7,7,9.5,0,14,14.4,1.049807,196
1,1200,0,0,46,12,4.1167,4.33,2140,48,12,9.1748,25516,0.6215,7,7,9.5,1,22,20.57596,1.415052,484
1,450,0,3,35,9,1.7778,2.6,1985,42,12,6.2972,13300,0.7515,3,7,5,1,6,12.49999,0.5753766,36
1,996,0,0,46,17,13.554,9.98,1528,59,17,10.471,31000,0.5815,12,12,9.5,1,23,17.50022,2.606682,529
1,1052,0,0,46,14,4.5627,4.9,1920,48,16,14.583,48800,0.4915,7,3,11,1,15,44.00004,1.517915,225
1,1128,0,2,43,12,2.1277,2.4,1918,46,10,6.2143,15519,0.7215,7,7,14,1,6,13.11895,0.7550416,36
1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6288,19500,0.6915,7,7,7.5,0,11,14.00006,1.094972,121
1,1910,0,2,41,11,2.5654,2.57,2144,46,9,3.8246,14545,0.7215,3,7,5,0,2,9.645086,0.9421144,4
1,980,0,1,54,12,5.6122,5,1920,54,15,7.8125,22897,0.6915,7,7,14,1,22,17.39705,1.724943,484
1,2317,0,1,31,12,2.8054,3.87,2241,41,9,3.4806,14300,0.7215,10,10,7.5,1,10,7.799889,1.031546,100
1,1089,0,0,44,10,1.607,0,880,47,11,5.55,14884,0.7515,10,10,9.5,1,14,13.13398,0.4743691,196
1,800,0,1,32,12,2.25,0,2070,31,16,11.594,27400,0.6215,12,7,11,1,12,25.6,0.8109302,144
1,1230,0,0,47,5,2.0325,2.82,1050,53,5,9.5238,16400,0.7215,7,12,14,1,9,13.90003,0.7092666,81
1,1158,0,1,46,17,5.532,8.1,2635,57,17,7.2805,25704,0.6215,14,17,7.5,0,13,19.29794,1.710549,169
1,2272,0,0,37,11,1.5845,3.71,3000,47,8,3,12800,0.7215,10,10,7.5,0,18,9.200016,0.4602689,324
1,528,0,2,51,12,3.7879,0,2500,50,11,10.4,40000,0.6215,7,7,7.5,0,8,37.99999,1.331812,64
1,1000,0,1,49,12,3,0,1990,49,12,10.05,47000,0.6615,7,7,14,1,11,44,1.098612,121
1,520,0,4,36,14,8.6538,0,2390,37,13,8.7866,25872,0.6615,10,12,9.5,1,9,21.37202,2.157999,81
1,760,0,1,39,11,4.2105,3.95,1430,44,12,10.14,26868,0.6915,12,7,9.5,1,9,23.66802,1.437581,81
1,1920,0,2,48,12,4.6875,4.3,1800,50,8,5,18000,0.6915,12,12,9.5,1,14,9,1.544899,196
1,1220,0,2,38,14,4.0984,4.84,2103,43,17,11.888,30200,0.5815,7,7,5,1,9,25.19995,1.410597,81
1,200,0,2,40,12,25,3,1350,42,12,13.333,26220,0.6615,7,7,7.5,1,2,21.22,3.218876,4
1,2480,1,5,39,10,2.6331,4.2,2880,36,17,8.6806,40500,0.5815,7,7,3,0,12,33.96991,0.9681619,144
1,2750,0,0,37,16,6,9,2400,43,17,7.2917,33570,0.61,12,7,7.5,1,15,17.07,1.791759,225
1,2014,0,1,49,13,5.4126,4.05,1135,47,12,3.5242,16917,0.7215,7,14,14,1,11,6.016024,1.68873,121
1,1355,0,3,33,12,0.6642,1,2750,35,17,6.1818,18000,0.7215,12,7,9.5,0,7,17.10001,-0.409172,49
1,80,0,0,30,12,1.25,0,2085,32,16,2.9755,8337,0.7515,12,12,11,1,9,8.237,0.2231435,81
1,1670,0,0,54,12,2.2754,2.1,2600,56,8,4.5769,17100,0.7215,12,7,9.5,0,19,13.30008,0.8221558,361
1,520,0,4,39,11,3.4615,3.05,3542,40,12,3.1056,17800,0.7515,10,7,11,0,11,16.00002,1.241702,121
1,288,0,3,43,12,4.1667,3,1975,43,12,5.8228,13740,0.7515,12,12,14,1,8,12.53999,1.427124,64
1,2014,0,3,31,9,4.4687,4.26,2400,32,12,7.5,27000,0.6215,10,3,9.5,1,13,18.00004,1.497097,169
1,800,0,3,33,13,1.75,0,3000,37,14,8.3333,32600,0.6215,12,7,7.5,1,4,31.2,0.5596158,16
1,1984,0,3,40,12,3.6694,4.25,1960,39,14,9.2347,28030,0.6615,12,12,14,1,7,20.74991,1.300028,49
1,1823,0,1,36,12,6.5826,6,2000,39,9,5.5,23100,0.6615,12,12,3,0,19,11.09992,1.88443,361
1,1500,0,0,51,12,2.6,2,3000,51,12,6,24580,0.6615,7,7,9.5,1,14,20.68,0.9555114,196
1,2261,0,1,44,13,4.8651,5.5,2400,43,12,6.6667,29000,0.6215,12,7,9.5,1,14,18.00001,1.582087,196
1,1728,0,3,42,16,5.787,6.25,2450,48,14,13.061,42430,0.5215,12,14,9.5,1,3,32.43007,1.755614,9
1,1960,0,1,40,12,4.5408,5,2423,40,8,12.794,41800,0.5215,12,12,7.5,1,9,32.90003,1.513103,81
1,1578,1,1,34,16,9.5057,7.72,2000,33,16,12,39100,0.58,12,17,9.5,1,7,24.10001,2.251892,49
1,1316,0,0,30,17,10.638,7,2526,41,16,6.73,31800,0.5815,16,17,11,1,7,17.80039,2.364432,49
1,1530,0,0,54,12,1.1111,1.13,2695,53,12,6.679,22200,0.6915,7,7,14,0,14,20.50002,0.1053505,196
1,2220,0,0,51,12,4.0541,4.37,2048,54,12,4.3945,19500,0.6915,16,7,3,0,29,10.4999,1.399729,841
1,1336,0,2,44,9,2.6871,2.64,1920,46,11,4.6875,14027,0.7515,7,10,11,0,19,10.43703,0.9884625,361
1,1008,0,1,43,12,2.9762,2.5,2338,42,9,7.6989,21195,0.6615,7,7,11,1,14,18.19499,1.090647,196
1,1944,0,1,34,12,3.1728,3.23,2945,37,8,4.3287,19013,0.6915,10,7,7.5,0,16,12.84508,1.154614,256
1,2000,0,0,45,13,3.55,3.45,2047,52,12,6.7416,20900,0.6615,12,7,11,1,10,13.8,1.266948,100
1,258,0,0,39,12,17.907,0,1668,47,7,9.3525,26820,0.6215,10,3,11,0,12,22.2,2.885192,144
1,1785,0,0,50,12,3.4174,5.75,175,48,10,9.1429,12800,0.7515,0,0,14,1,24,6.699941,1.22888,576
1,480,0,0,52,12,3.3333,0,1798,53,12,2.6418,7850,0.7515,7,7,14,0,6,6.250016,1.203963,36
1,772,0,2,41,12,3.886,7.5,1222,45,12,7.365,18600,0.7215,12,12,7.5,1,9,15.60001,1.35738,81
1,900,0,0,59,10,2.3111,2.22,1820,59,7,1.4066,5380,0.7715,12,7,5,0,14,3.30001,0.8377236,196
1,1428,0,0,52,12,1.7108,2.5,1560,60,8,1.5192,6114,0.7715,10,7,14,0,26,3.670978,0.5369611,676
1,210,0,0,46,16,2.1143,4,2210,49,12,3.3439,8234,0.7515,12,12,14,0,7,7.789997,0.7487238,49
1,239,1,5,41,12,9.9331,4.5,2874,48,16,2.9106,20646,0.7215,3,7,11,1,4,18.27199,2.295873,16
1,1878,0,2,33,11,3.0277,3.5,2499,35,8,4.3834,16640,0.7215,7,7,9.5,0,15,10.95398,1.107803,225
1,215,0,0,45,12,1.8605,2.3,3088,38,12,4.2098,13900,0.7215,12,12,5,1,23,13.49999,0.6208453,529
